type,parameters,0 = start tone,1 = stop tone,2 = delay,3 = set led,4 = show led
3,0,0,0,0,255,
2,25,,,,,
4,,,,,,
3,1,0,0,0,255,
2,25,,,,,
4,,,,,,
2,25,,,,,
3,2,0,0,0,255,
2,25,,,,,
4,,,,,,
2,25,,,,,
3,3,0,0,0,255,
2,25,,,,,
4,,,,,,
2,25,,,,,
3,4,0,0,0,255,
2,25,,,,,
4,,,,,,
2,25,,,,,
3,5,0,0,0,255,
2,25,,,,,
4,,,,,,
2,25,,,,,
3,6,0,0,0,255,
2,25,,,,,
4,,,,,,
2,25,,,,,
3,7,0,0,0,255,
2,25,,,,,
4,,,,,,
2,25,,,,,
3,8,0,0,0,255,
2,25,,,,,
4,,,,,,
2,25,,,,,
3,9,0,0,0,255,
2,25,,,,,
4,,,,,,
2,25,,,,,
3,10,0,0,0,255,
2,25,,,,,
4,,,,,,
2,25,,,,,
3,11,0,0,0,255,
2,25,,,,,
4,,,,,,
2,25,,,,,
3,12,0,0,0,255,
2,25,,,,,
4,,,,,,
2,25,,,,,
3,13,0,0,0,255,
2,25,,,,,
4,,,,,,
2,25,,,,,
3,14,0,0,0,255,
2,25,,,,,
4,,,,,,
2,25,,,,,
3,15,0,0,0,255,
2,25,,,,,
4,,,,,,
2,25,,,,,
3,16,0,0,0,255,
2,25,,,,,
4,,,,,,
2,25,,,,,
3,17,0,0,0,255,
2,25,,,,,
4,,,,,,
2,25,,,,,
3,18,0,0,0,255,
2,25,,,,,
4,,,,,,
2,25,,,,,
3,19,0,0,0,255,
2,25,,,,,
4,,,,,,
2,25,,,,,
3,20,0,0,0,255,
2,25,,,,,
4,,,,,,
2,25,,,,,
3,21,0,0,0,255,
2,25,,,,,
4,,,,,,
2,25,,,,,
3,22,0,0,0,255,
2,25,,,,,
4,,,,,,
2,25,,,,,
3,23,0,0,0,255,
2,25,,,,,
4,,,,,,
